timestamp,server_id,cpu_used,q_len,network_in,network_out
291,Server 0,90,1,13,10
291,Server 1,75,1,10,6
291,Server 2,58,1,10,11
292,Server 0,90,1,13,10
292,Server 1,75,1,10,6
292,Server 2,58,1,10,11
293,Server 0,90,1,13,10
293,Server 1,75,1,10,6
293,Server 2,58,1,10,11
294,Server 0,90,1,13,10
294,Server 1,75,1,10,6
294,Server 2,58,1,10,11
295,Server 0,90,1,13,10
295,Server 1,75,1,10,6
295,Server 2,74,1,6,12
296,Server 0,90,1,13,10
296,Server 1,87,1,13,11
296,Server 2,74,1,6,12
297,Server 0,90,1,13,10
297,Server 1,87,1,13,11
297,Server 2,74,1,6,12
298,Server 0,90,1,13,10
298,Server 1,87,1,13,11
298,Server 2,74,1,6,12
299,Server 0,90,1,13,10
299,Server 1,87,1,13,11
299,Server 2,74,1,6,12
300,Server 0,90,1,13,10
300,Server 1,87,1,13,11
300,Server 2,74,1,6,12
301,Server 0,90,1,13,10
301,Server 1,87,1,13,11
301,Server 2,74,1,6,12
302,Server 0,90,1,13,10
302,Server 1,87,1,13,11
302,Server 2,74,1,6,12
303,Server 0,83,1,9,14
303,Server 1,87,1,13,11
303,Server 2,74,1,6,12
304,Server 0,83,1,9,14
304,Server 1,87,1,13,11
304,Server 2,74,1,6,12
305,Server 0,83,1,9,14
305,Server 1,87,1,13,11
305,Server 2,46,1,15,10
306,Server 0,83,1,9,14
306,Server 1,87,1,13,11
306,Server 2,46,1,15,10
307,Server 0,83,1,9,14
307,Server 1,87,1,13,11
307,Server 2,46,1,15,10
308,Server 0,83,1,9,14
